日期,開盤,最高,最低,收盤,漲跌,成交量,成交金,本益比,漲%
2018/07/06,11.20,11.30,11.00,11.15,0.20,"76,484","853,390",3.95,1.83%
2018/07/05,10.95,11.05,10.90,10.95,0.05,"33,264","364,984",3.88,0.46%
2018/07/04,10.85,10.95,10.85,10.90,0.05,"19,984","217,395",3.87,0.46%
2018/07/03,11.00,11.05,10.85,10.85,-0.10,"28,222","307,964",3.85,-0.91%
2018/07/02,11.05,11.20,10.95,10.95,0.00,"28,914","319,940",3.88,0.00%
2018/06/29,10.95,11.05,10.90,10.95,0.10,"54,874","602,765",3.88,0.92%
2018/06/28,10.90,10.95,10.85,10.85,-0.20,"45,263","493,148",3.85,-1.81%
2018/06/27,11.15,11.20,11.05,11.05,-0.05,"33,280","369,182",3.92,-0.45%
2018/06/26,11.20,11.20,11.00,11.10,-0.15,"31,814","352,689",3.94,-1.33%
2018/06/25,11.20,11.35,11.20,11.25,0.05,"19,502","219,813",3.99,0.45%
2018/06/22,11.30,11.35,11.15,11.20,-0.15,"31,777","356,482",3.97,-1.32%
2018/06/21,11.70,11.75,11.35,11.35,-0.45,"90,249","1,035,111",4.02,-3.81%
2018/06/20,11.60,11.80,11.45,11.80,0.20,"69,421","806,344",4.18,1.72%
2018/06/19,11.90,11.95,11.60,11.60,-0.40,"67,038","786,643",4.11,-3.33%
2018/06/15,12.00,12.25,11.95,12.00,0.05,"81,434","982,417",4.26,0.42%
2018/06/14,12.20,12.25,11.95,11.95,-0.25,"36,012","434,574",4.24,-2.05%
2018/06/13,12.20,12.30,12.10,12.20,0.00,"31,269","381,793",4.33,0.00%
2018/06/12,12.05,12.30,12.05,12.20,0.10,"35,147","427,613",4.33,0.83%
2018/06/11,12.10,12.15,11.90,12.10,0.05,"37,492","451,310",4.29,0.41%
2018/06/08,12.30,12.35,12.00,12.05,-0.25,"61,621","746,658",4.27,-2.03%
2018/06/07,11.90,12.30,11.85,12.30,0.50,"118,827","1,443,033",4.36,4.24%
2018/06/06,11.70,11.85,11.65,11.80,0.10,"43,466","512,860",4.18,0.85%
2018/06/05,11.80,11.80,11.65,11.70,-0.10,"23,051","269,966",4.15,-0.85%
2018/06/04,11.80,11.85,11.70,11.80,0.05,"32,968","388,122",4.18,0.43%
2018/06/01,11.60,11.75,11.55,11.75,0.15,"57,430","672,016",4.17,1.29%
2018/05/31,11.40,11.60,11.35,11.60,0.25,"53,031","611,046",4.11,2.20%
2018/05/30,11.45,11.50,11.30,11.35,-0.20,"48,878","556,547",4.02,-1.73%
2018/05/29,11.50,11.60,11.45,11.55,0.05,"21,124","244,058",4.1,0.43%
2018/05/28,11.45,11.55,11.40,11.50,0.05,"18,943","217,779",4.08,0.44%
2018/05/25,11.55,11.60,11.40,11.45,-0.10,"40,799","468,789",4.06,-0.87%
2018/05/24,11.60,11.65,11.50,11.55,-0.05,"23,800","275,065",4.1,-0.43%
2018/05/23,11.65,11.85,11.60,11.60,0.00,"53,395","626,294",4.11,0.00%
2018/05/22,11.55,11.70,11.50,11.60,0.05,"38,669","448,734",4.11,0.43%
2018/05/21,11.40,11.60,11.40,11.55,0.10,"35,581","409,610",4.1,0.87%
2018/05/18,11.55,11.65,11.45,11.45,-0.10,"24,524","282,422",4.06,-0.87%
2018/05/17,11.55,11.65,11.50,11.55,0.00,"34,847","403,085",4.1,0.00%
2018/05/16,11.45,11.65,11.45,11.55,0.05,"38,377","442,974",4.1,0.43%
2018/05/15,11.55,11.60,11.45,11.50,-0.05,"24,171","278,248",4.08,-0.43%
2018/05/14,11.55,11.60,11.45,11.55,0.00,"23,922","275,578",3.1,0.00%
2018/05/11,11.45,11.55,11.40,11.55,0.15,"26,431","303,275",3.1,1.32%
2018/05/10,11.55,11.60,11.40,11.40,-0.20,"41,836","479,823",3.06,-1.72%
2018/05/09,11.65,11.90,11.60,11.60,-0.05,"72,076","843,221",3.12,-0.43%
2018/05/08,11.10,11.70,11.10,11.65,0.60,"147,379","1,698,636",3.13,5.43%
2018/05/07,11.20,11.20,11.05,11.05,-0.10,"31,402","348,985",2.97,-0.90%
2018/05/04,11.05,11.30,11.00,11.15,0.10,"49,642","554,185",3,0.90%
2018/05/03,10.95,11.10,10.95,11.05,0.00,"31,977","352,956",2.97,0.00%
2018/05/02,11.15,11.15,11.00,11.05,-0.05,"32,507","360,113",2.97,-0.45%
2018/04/30,11.20,11.20,11.05,11.10,0.00,"27,282","303,141",2.98,0.00%
2018/04/27,11.05,11.25,11.00,11.10,0.20,"57,211","635,475",2.98,1.83%
2018/04/26,11.25,11.35,10.80,10.90,-0.40,"108,128","1,189,420",2.93,-3.54%
2018/04/25,11.15,11.30,11.10,11.30,0.05,"40,502","453,984",3.04,0.44%
2018/04/24,11.60,11.60,11.15,11.25,-0.25,"62,517","705,061",3.02,-2.17%
2018/04/23,11.65,11.70,11.50,11.50,-0.25,"42,638","492,908",3.09,-2.13%
2018/04/20,11.90,11.95,11.75,11.75,-0.35,"44,814","531,017",3.16,-2.89%
2018/04/19,11.80,12.15,11.75,12.10,0.40,"61,387","731,749",3.25,3.42%
2018/04/18,11.70,11.80,11.60,11.70,0.15,"45,022","526,595",3.15,1.30%
2018/04/17,12.00,12.05,11.50,11.55,-0.45,"140,383","1,632,016",3.1,-3.75%
2018/04/16,12.45,12.45,12.00,12.00,-0.55,"104,500","1,268,701",3.23,-4.38%
2018/04/13,12.65,12.65,12.55,12.55,0.00,"19,074","239,805",3.37,0.00%
2018/04/12,12.60,12.70,12.50,12.55,-0.05,"37,178","467,533",3.37,-0.40%
2018/04/11,12.80,12.85,12.55,12.60,-0.10,"64,851","821,748",3.39,-0.79%
2018/04/10,12.80,12.85,12.70,12.70,-0.15,"54,440","693,808",3.41,-1.17%
2018/04/09,13.00,13.00,12.80,12.85,-0.15,"50,542","650,981",3.45,-1.15%
2018/04/03,13.05,13.10,12.95,13.00,-0.15,"35,451","460,846",3.49,-1.14%
2018/04/02,13.20,13.30,13.10,13.15,0.05,"67,439","891,434",3.53,0.38%
2018/03/31,13.15,13.20,13.00,13.10,-0.05,"27,324","357,812",3.52,-0.38%
2018/03/30,12.80,13.15,12.80,13.15,0.40,"70,714","918,405",3.53,3.14%
2018/03/29,12.95,12.95,12.75,12.75,-0.15,"44,850","576,102",3.43,-1.16%
2018/03/28,12.85,12.90,12.80,12.90,0.00,"24,817","319,252",3.47,0.00%
2018/03/27,12.95,12.95,12.85,12.90,0.10,"30,298","391,011",3.47,0.78%
2018/03/26,12.80,12.95,12.75,12.80,0.05,"52,713","677,905",3.44,0.39%
2018/03/23,12.70,12.80,12.65,12.75,-0.20,"44,603","568,360",3.43,-1.54%
2018/03/22,13.10,13.15,12.90,12.95,-0.10,"53,125","691,662",3.48,-0.77%
2018/03/21,13.15,13.25,13.05,13.05,-0.20,"78,807","1,036,550",2.98,-1.51%
2018/03/20,13.10,13.25,13.05,13.25,0.10,"81,454","1,075,215",3.03,0.76%
2018/03/19,13.10,13.30,13.05,13.15,0.05,"77,863","1,026,413",3,0.38%
2018/03/16,13.00,13.10,12.95,13.10,0.10,"51,803","675,207",2.99,0.77%
2018/03/15,12.95,13.05,12.90,13.00,0.05,"41,465","538,608",2.97,0.39%
2018/03/14,12.90,13.10,12.85,12.95,0.00,"60,054","780,816",2.96,0.00%
2018/03/13,12.95,13.00,12.90,12.95,0.00,"36,889","477,824",2.96,0.00%
2018/03/12,13.00,13.10,12.85,12.95,-0.05,"70,941","918,501",2.96,-0.38%
2018/03/09,13.05,13.20,13.00,13.00,-0.15,"87,842","1,149,423",2.97,-1.14%
2018/03/08,12.75,13.25,12.75,13.15,0.45,"120,839","1,581,291",3,3.54%
2018/03/07,12.75,12.85,12.70,12.70,-0.10,"45,161","576,590",2.9,-0.78%
2018/03/06,12.85,12.90,12.75,12.80,0.05,"24,747","317,233",2.92,0.39%
